category,name,url
Instituciones-UT,"Universidad Tecnológica de Nogales, Sonora",http://www.utnogales.edu.mx/
Instituciones-UT,Universidad Tecnológica de Nuevo Laredo,http://www.utnuevolaredo.edu.mx/
Instituciones-UT,Universidad Tecnológica de Oriental,https://utdeoriental.edu.mx/
Instituciones-UT,Universidad Tecnológica de Paquimé,http://utpaquime.edu.mx/
Instituciones-UT,Universidad Tecnológica de Parral,http://www.utparral.edu.mx/
Instituciones-UT,Universidad Tecnológica de Poanas,http://utpdgo.blogspot.mx/
Instituciones-UT,Universidad Tecnológica de Puebla,http://www.utpuebla.edu.mx/
Instituciones-UT,Universidad Tecnológica de Puerto Peñasco,http://utpp.edu.mx/
Instituciones-UT,Universidad Tecnológica de Querétaro,http://www.uteq.edu.mx/
Instituciones-UT,Universidad Tecnológica de Rodeo,http://utrodeo.edu.mx/
Instituciones-UT,Universidad Tecnológica de Salamanca,http://www.utsalamanca.edu.mx/
Instituciones-UT,"Universidad Tecnológica de San Juan del Río, Querétaro",http://www.utsjr.edu.mx/
Instituciones-UT,Universidad Tecnológica de San Luis Potosí,http://www.utslp.edu.mx/
Instituciones-UT,Universidad Tecnológica de San Luis Río Colorado,http://www.utslrc.edu.mx/
Instituciones-UT,Universidad Tecnológica de San Miguel de Allende,http://www.utsma.edu.mx/
Instituciones-UT,Universidad Tecnológica de Santa Catarina,http://www.utsc.edu.mx/
Instituciones-UT,Universidad Tecnológica de Tabasco,http://www.uttab.edu.mx/
Instituciones-UT,Universidad Tecnológica de Tamaulipas Norte,http://www.uttn.edu.mx/
Instituciones-UT,Universidad Tecnológica de Tecamachalco,https://uttecam.edu.mx/
Instituciones-UT,Universidad Tecnológica de Tecámac,http://www.uttecamac.edu.mx/
Instituciones-UT,Universidad Tecnológica de Tehuacán,http://www.uttehuacan.edu.mx/
Instituciones-UT,Universidad Tecnológica de Tijuana,http://www.uttijuana.edu.mx/
Instituciones-UT,Universidad Tecnológica de Tlaxcala,http://www.uttlaxcala.edu.mx/
