university_name,university_url
Instituto Tecnológico de Guaymas,https://itguaymas.edu.mx/
Instituto Tecnológico de Gustavo A. Madero,https://www.gamadero.tecnm.mx/
Instituto Tecnológico de Gustavo A. Madero II,https://www.gamadero2.tecnm.mx/
Instituto Tecnológico de Hermosillo,http://www.ith.mx/
Instituto Tecnológico de Huatabampo,http://www.ithua.edu.mx/
Instituto Tecnológico de Huejutla,https://huejutla.tecnm.mx/
Instituto Tecnológico de Huimanguillo,https://huimanguillo.tecnm.mx/
Instituto Tecnológico de Iguala,http://www.itiguala.edu.mx/
Instituto Tecnológico de Istmo,http://www.itistmo.edu.mx/
Instituto Tecnológico de Iztapalapa,https://www.iztapalapa.tecnm.mx/
Instituto Tecnológico de Iztapalapa II,https://iztapalapa2.tecnm.mx/
Instituto Tecnológico de Iztapalapa III,https://iztapalapa3.tecnm.mx/
Instituto Tecnológico de Jiquilpan,https://www.itjiquilpan.edu.mx/
Instituto Tecnológico de La Chontalpa,http://itchontalpa.edu.mx/
Instituto Tecnológico de La Cuenca del Papaloapan,http://cpapaloapan.tecnm.mx/
Instituto Tecnológico de La Laguna,http://www.itlalaguna.edu.mx/
Instituto Tecnológico de La Paz,http://www.itlp.edu.mx/
Instituto Tecnológico de La Zona Maya,http://www.itzonamaya.edu.mx/
Instituto Tecnológico de La Zona Olmeca,https://zolmeca.tecnm.mx/
Instituto Tecnológico de Lázaro Cárdenas,http://web.itlac.mx/
Instituto Tecnológico de León,http://www.itleon.edu.mx/
Instituto Tecnológico de Lerma,https://lerma.tecnm.mx/
Instituto Tecnológico de Linares,http://www.itlinares.edu.mx/
Instituto Tecnológico de Los Mochis,https://www.mochis.tecnm.mx/
Instituto Tecnológico de Matehuala,https://matehuala.tecnm.mx/
Instituto Tecnológico de Mazatlán,https://mazatlan.tecnm.mx/
Instituto Tecnológico de Mérida,http://www.itmerida.mx/
Instituto Tecnológico de Mexicali,http://www.itmexicali.edu.mx/
Instituto Tecnológico de Milpa Alta,https://itmilpaalta.edu.mx/
Instituto Tecnológico de Milpa Alta II,https://milpaalta2.tecnm.mx/
Instituto Tecnológico de Minatitlán,https://minatitlan.tecnm.mx/
Instituto Tecnológico de Morelia,http://www.itmorelia.edu.mx/
Instituto Tecnológico de Nogales,http://nogales.tecnm.mx/index.asp
Instituto Tecnológico de Norte de Nayarit,http://itnortedenayarit.edu.mx/
Instituto Tecnológico de Nuevo Laredo,https://nlaredo.tecnm.mx/
Instituto Tecnológico de Oaxaca,http://www.itoaxaca.edu.mx/
Instituto Tecnológico de Ocotlán,https://ocotlan.tecnm.mx/
Instituto Tecnológico de Pabellón de Arteaga,https://pabellon.tecnm.mx/
Instituto Tecnológico de Pachuca,http://www.itpachuca.edu.mx/
Instituto Tecnológico de Parral,http://www.itparral.edu.mx/
Instituto Tecnológico de Piedras Negras,http://www.piedrasnegras.tecnm.mx/
Instituto Tecnológico de Pinotepa,https://pinotepa.tecnm.mx/
Instituto Tecnológico de Pochutla,https://www.pochutla.tecnm.mx/
Instituto Tecnológico de Puebla,https://www.puebla.tecnm.mx/convocatoria/
Instituto Tecnológico de Querétaro,https://queretaro.tecnm.mx/
